
0,Ms,Elizabeth,Franklin,Female,26/09/1995 12:00:00 AM
1,Miss,Finley,Sartini,Male,25/04/1965 12:00:00 AM
2,Mr,Miron,Descoteaux,Male,4/06/1983 12:00:00 AM
3,Mx,Tekla,Muhammad,Other,17/12/1989 12:00:00 AM
4,Mrs,Valentina,Waters,Female,27/04/1979 12:00:00 AM
5,Mr,Azarel,Kristiansen,Male,1/06/1976 12:00:00 AM
6,Lord,Herman,Dirksen,Male,22/05/1959 12:00:00 AM
7,Mrs,Emel,Gabor,Female,31/03/1976 12:00:00 AM
8,Lady,Kalpana,Rothenberg,Female,6/02/1966 12:00:00 AM
9,Dr,Amos,Allaway,Male,10/09/1957 12:00:00 AM
